Players,Final Price,DateTimeStr,
30547,604.5,1/1/2017,
34504,1209,1/2/2017,
30129,1209,1/3/2017,
28738,1209,1/4/2017,
28180,1209,1/5/2017,
30472,1209,1/6/2017,
33358,1209,1/7/2017,
31922,1209,1/8/2017,
25360,1209,1/9/2017,
24998,1209,1/10/2017,
24388,1209,1/11/2017,
24502,1209,1/12/2017,
27802,1209,1/13/2017,
31686,1209,1/14/2017,
31564,1209,1/15/2017,
28007,1209,1/16/2017,
25030,1209,1/17/2017,
25516,1209,1/18/2017,
24352,1209,1/19/2017,
26784,1209,1/20/2017,
30426,1209,1/21/2017,
30774,1209,1/22/2017,
24019,1209,1/23/2017,
23687,1209,1/24/2017,
23785,1209,1/25/2017,
23197,1209,1/26/2017,
25771,1209,1/27/2017,
29299,1209,1/28/2017,
30507,1209,1/29/2017,
24139,1209,1/30/2017,
23790,1209,1/31/2017,
23820,1209,2/1/2017,
27697,604.5,2/2/2017,
42394,604.5,2/3/2017,
59199,604.5,2/4/2017,
65010,604.5,2/5/2017,
41778,1209,2/6/2017,
46259,1209,2/7/2017,
52115,1209,2/8/2017,
43122,1209,2/9/2017,
48865,1209,2/10/2017,
54908,1209,2/11/2017,
52661,1209,2/12/2017,
39276,1209,2/13/2017,
37869,1209,2/14/2017,
38708,1209,2/15/2017,
36699,1209,2/16/2017,
41646,1209,2/17/2017,
48737,1209,2/18/2017,
44002,1209,2/19/2017,
36401,1209,2/20/2017,
35515,1209,2/21/2017,
35279,449,2/22/2017,
32482,449,2/23/2017,
36744,449,2/24/2017,
44197,449,2/25/2017,
43672,449,2/26/2017,
35329,449,2/27/2017,
34951,449,2/28/2017,
34112,449,3/1/2017,
33415,449,3/2/2017,
37172,449,3/3/2017,
45103,449,3/4/2017,
41238,449,3/5/2017,
29423,449,3/6/2017,
29255,449,3/7/2017,
30634,449,3/8/2017,
30430,449,3/9/2017,
38095,449,3/10/2017,
44651,449,3/11/2017,
40452,449,3/12/2017,
30873,449,3/13/2017,
32476,449,3/14/2017,
36149,449,3/15/2017,
32022,449,3/16/2017,
38519,449,3/17/2017,
46984,449,3/18/2017,
44089,449,3/19/2017,
30988,449,3/20/2017,
20325,449,3/21/2017,
15442,449,3/22/2017,
29319,449,3/23/2017,
37241,449,3/24/2017,
47655,449,3/25/2017,
45447,449,3/26/2017,
35486,449,3/27/2017,
31674,449,3/28/2017,
38388,449,3/29/2017,
35049,449,3/30/2017,
38028,449,3/31/2017,
46815,449,4/1/2017,
45794,449,4/2/2017,
36881,449,4/3/2017,
32982,449,4/4/2017,
35431,449,4/5/2017,
34701,449,4/6/2017,
38788,449,4/7/2017,
45283,449,4/8/2017,
40663,449,4/9/2017,
31869,449,4/10/2017,
33368,449,4/11/2017,
31830,449,4/12/2017,
33275,449,4/13/2017,
41249,449,4/14/2017,
41408,449,4/15/2017,
35431,449,4/16/2017,
33931,449,4/17/2017,
30520,449,4/18/2017,
31243,449,4/19/2017,
34123,449,4/20/2017,
41322,449,4/21/2017,
43843,449,4/22/2017,
41425,449,4/23/2017,
32632,449,4/24/2017,
31724,449,4/25/2017,
31812,449,4/26/2017,
27318,449,4/27/2017,
38046,449,4/28/2017,
40762,449,4/29/2017,
39098,449,4/30/2017,
34663,449,5/1/2017,
29560,449,5/2/2017,
32770,449,5/3/2017,
31659,449,5/4/2017,
36446,449,5/5/2017,
41734,449,5/6/2017,
38679,449,5/7/2017,
32644,449,5/8/2017,
